Ticker,Status Akuisisi
WIKA,TIDAK ADA
WOOD,TIDAK ADA
WSBP,TIDAK ADA
WSKT,TIDAK ADA
YPAS,TIDAK ADA
YULE,TIDAK ADA
YUPI,TIDAK ADA
ZATA,TIDAK ADA
ZBRA,TIDAK ADA
ZINC,TIDAK ADA
ZONE,TIDAK ADA
ZYRX,TIDAK ADA
TRUE,TIDAK ADA
JELI,TIDAK ADA
JECX,TIDAK ADA
